,ID,Name,Email,Units,Program,Level
11,1234,"Doe,John",john@cpts122.edu,4,EE,Freshman
12,2345,"Doe,Jane",jane@cpts122.edu,AU,CS,Junior
13,3456,"Brown,Michael",michaelb@cpts122.edu,4,CPTE,Freshman
14,4567,"Brown,Sarah",sarahb@cpts122.edu,4,CS,Sophomore
15,5678,"Jones,David",davidj@cpts122.edu,4,EE,Junior
16,6789,"Jones,Emily",emilyj@cpts122.edu,AU,EE,Senior
17,7890,"Wilson,Robert",robertw@cpts122.edu,4,CPTE,Freshman
18,8901,"Wilson,Emily",emilyw@cpts122.edu,4,CS,Sophomore
19,9012,"Taylor,James",jamest@cpts122.edu,AU,CS,Junior
20,112233445,"Taylor,Sophia",sophiat@cpts122.edu,4,CS,Senior
21,223344556,"Anderson,Michael",michaela@cpts122.edu,4,EE,Freshman
22,334455667,"Anderson,Emma",emmaa@cpts122.edu,4,CPTE,Junior
23,445566778,"Thomas,William",williamt@cpts122.edu,AU,EE,Freshman
24,556677889,"Thomas,Olivia",oliviat@cpts122.edu,4,EE,Sophomore
25,667788990,"Jackson,Liam",liamj@cpts122.edu,4,CPTE,Junior
26,778899001,"Jackson,Ava",avaj@cpts122.edu,AU,CS,Freshman
27,889900112,"White,Mason",masonw@cpts122.edu,4,CPTE,Sophomore
28,990011223,"White,Amelia",ameliaw@cpts122.edu,4,CS,Junior
29,101122334,"Harris,Alexander",alexandeh@cpts122.edu,AU,CS,Sophomore
30,212233445,"Harris,Mia",miah@cpts122.edu,4,CPTE,Senior
31,323344556,"Martin,Benjamin",benjaminm@cpts122.edu,4,CS,Freshman
32,434455667,"Martin,Charlotte",charlottem@cpts122.edu,4,EE,Sophomore
33,545566778,"Thompson,Daniel",danield@cpts122.edu,AU,EE,Freshman
34,656677889,"Thompson,Ava",avat@cpts122.edu,4,CPTE,Junior
35,767788990,"Garcia,Matthew",matthewg@cpts122.edu,4,CS,Sophomore
36,878899001,"Garcia,Scarlett",scarlettg@cpts122.edu,4,EE,Junior
37,989900112,"Martinez,David",davidm@cpts122.edu,AU,CPTE,Freshman
38,109011223,"Martinez,Chloe",chloem@cpts122.edu,4,CS,Senior
39,112122334,"Robinson,Ethan",ethanr@cpts122.edu,4,EE,Junior
40,223233445,"Robinson,Lily",lilyr@cpts122.edu,AU,CPTE,Senior
41,334344556,"Clark,Joseph",josephc@cpts122.edu,4,CS,Sophomore
42,445455667,"Clark,Grace",gracec@cpts122.edu,4,CS,Freshman
43,556566778,"Rodriguez,Michael",michaelr@cpts122.edu,4,CPTE,Junior
44,667677889,"Rodriguez,Hannah",hannahr@cpts122.edu,AU,EE,Senior
45,778788990,"Lewis,Alexander",alexanderl@cpts122.edu,4,CPTE,Junior
46,889899001,"Lewis,Abigail",abigaill@cpts122.edu,4,EE,Freshman
47,990900112,"Lee,William",williaml@cpts122.edu,AU,CS,Sophomore
48,101011223,"Lee,Emily",emilyl@cpts122.edu,4,CPTE,Junior
49,112122334,"Walker,James",jamesw@cpts122.edu,4,CPTE,Senior
50,223233445,"Walker,Emma",emmw@cpts122.edu,AU,EE,Freshman
51,334344556,"Hall,Daniel",danile@cpts122.edu,4,CS,Sophomore
52,445455667,"Hall,Ava",ava@cpts122.edu,4,CPTE,Junior
53,556566778,"Allen,Matthew",matthewa@cpts122.edu,4,CS,Senior
54,667677889,"Allen,Scarlett",scarletta@cpts122.edu,AU,CS,Freshman
55,778788990,"Young,David",davidy@cpts122.edu,4,EE,Junior
56,889899001,"Young,Chloe",chloey@cpts122.edu,AU,EE,Senior
57,990900112,"Hernandez,Liam",liamh@cpts122.edu,4,CPTE,Freshman
58,101011223,"Hernandez,Isabella",isabellah@cpts122.edu,4,CPTE,Sophomore
59,112122334,"King,James",jamesk@cpts122.edu,AU,CS,Junior
60,223233445,"King,Sophia",sophiak@cpts122.edu,4,CS,Senior
61,334344556,"Wright,Benjamin",benjaminw@cpts122.edu,4,EE,Freshman
62,445455667,"Wright,Charlotte",charlottew@cpts122.edu,AU,EE,Sophomore
63,556566778,"Lopez,Daniel",danile@cpts122.edu,4,CPTE,Freshman
64,667677889,"Lopez,Ava",ava@cpts122.edu,4,CS,Junior
65,778788990,"Hill,Matthew",matthewh@cpts122.edu,AU,CS,Senior
66,889899001,"Hill,Scarlett",scarletth@cpts122.edu,4,EE,Freshman
67,990900112,"Scott,Liam",liams@cpts122.edu,4,CPTE,Sophomore
68,101011223,"Scott,Scarlett",scarletts@cpts122.edu,AU,CS,Sophomore
69,112122334,"Green,James",jamesg@cpts122.edu,4,CS,Junior
70,223233445,"Green,Emma",emmag@cpts122.edu,4,CPTE,Senior
71,334344556,"Adams,William",williama@cpts122.edu,4,CS,Freshman
72,445455667,"Adams,Ava",ava@cpts122.edu,4,EE,Sophomore
73,556566778,"Baker,Michael",michaelb@cpts122.edu,4,CPTE,Freshman
74,667677889,"Baker,Olivia",oliviab@cpts122.edu,4,CS,Junior
