,ID,Name,Email,Units,Program,Level
1,1111,"Smith,John",smithj@cpts122.edu,4,CS
2,8147,"Beck,Sara",sara@cpts122.edu,4,EE
3,1121,"Leinart,Timothy",tim@cpts122.edu,4,EE
4,4478,"Art,Bruce",bart@cpts122.edu,-1,CPTE
5,2121,"James,Hannah",jameshannah@cpts122.edu,4,CS
6,5530,"Payton,Ella",epayton@cpts122.edu,4,CPTE
7,7759,"Sam,Theo",samt@cpts122.edu,4,EE
8,1122,"Smith,Jane",jane@cpts122.edu,4,CS
9,1222,"Willis,Bruce",brucewillis@cpts122.edu,-1,CS
10,3255,"Mort,Kris",mort@cpts122.edu,4,CS
10,3255,"Mort,Kris",mort@cpts122.edu,4,CS
9,1222,"Willis,Bruce",brucewillis@cpts122.edu,-1,CS
8,1122,"Smith,Jane",jane@cpts122.edu,4,CS
7,7759,"Sam,Theo",samt@cpts122.edu,4,EE
6,5530,"Payton,Ella",epayton@cpts122.edu,4,CPTE
5,2121,"James,Hannah",jameshannah@cpts122.edu,4,CS
4,4478,"Art,Bruce",bart@cpts122.edu,-1,CPTE
3,1121,"Leinart,Timothy",tim@cpts122.edu,4,EE
2,8147,"Beck,Sara",sara@cpts122.edu,4,EE
1,1111,"Smith,John",smithj@cpts122.edu,4,CS
